year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022,1,SSG,144,88,52,4,0.629,0.0,4승0무6패,4패,49-0-23,39-4-29
2022,3,LG,144,87,55,2,0.613,2.0,4승0무6패,1승,38-1-33,49-1-22
2022,5,KIA,144,70,73,1,0.49,19.5,7승0무3패,1패,31-0-41,39-1-32
2022,10,한화,144,46,96,2,0.324,43.0,3승0무7패,1패,28-0-44,18-2-52
2023,1,LG,144,86,56,2,0.606,0.0,5승0무5패,1승,45-1-25,41-1-31
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023,6,KIA,144,73,69,2,0.514,13.0,7승0무3패,2승,38-2-31,35-0-38
2023,9,한화,144,58,80,6,0.42,26.0,3승0무7패,1패,32-1-40,26-5-40
2024,1,KIA,144,87,55,2,0.613,0.0,5승0무5패,2승,42-1-30,45-1-25
2024,3,LG,144,76,66,2,0.535,11.0,7승0무3패,2승,39-1-33,37-1-33
2024,6,SSG,144,72,70,2,0.507,15.0,8승0무2패,4승,35-1-35,37-1-35
2024,8,한화,144,66,76,2,0.465,21.0,5승0무5패,2패,30-2-39,36-0-37
2025,1,LG,144,85,56,3,0.603,0.0,4승0무6패,3패,41-1-29,44-2-27
2025,2,한화,144,83,57,4,0.593,1.5,5승1무4패,1패,44-2-27,39-2-30
2025,3,SSG,144,75,65,4,0.536,9.5,6승0무4패,2패,38-4-31,37-0-34
2025,8,KIA,144,65,75,4,0.464,19.5,4승0무6패,2승,35-2-34,30-2-41
